Year,Type,Country,Value,Unit,ISO-2,ISO-3,latitude,longitude
2010,Departure,Germany,95179852,Passengers,DE, DEU,51.165691,10.451526
2010,Departure,Austria,12143616,Passengers,AT, AUT,47.516231,14.550072
2010,Departure,Belgium,11377052,Passengers,BE, BEL,50.503887,4.469936
2010,Departure,Bulgaria,3196074,Passengers,BG, BGR,42.733883,25.485830
2010,Departure,Cyprus,3471126,Passengers,CY, CYP,35.126413,33.429859
2010,Departure,Croatia,2549241,Passengers,HR, HRV,45.100000,15.200000
2010,Departure,Denmark,13250447,Passengers,DK, DNK,56.263920,9.501785
2010,Departure,Slovakia,968834,Passengers,SK, SVK,48.669026,19.699024
2010,Departure,Slovenia,689185,Passengers,SI, SVN,46.151241,14.995463
2010,Departure,Spain,95718028,Passengers,ES, ESP,40.463667,-3.749220
2010,Departure,Estonia,700438,Passengers,EE, EST,58.595272,25.013607
2010,Departure,Finland,8263231,Passengers,FI, FIN,61.924110,25.748151
2010,Departure,France,71842681,Passengers,FR, FRA,46.227638,2.213749
2010,Departure,Greece,19677906,Passengers,GR, GRC,39.074208,21.824312
2010,Departure,Hungary,4114462,Passengers,HU, HUN,47.162494,19.503304
2010,Departure,Ireland,11711286,Passengers,IE, IRL,53.412910,-8.243890
2010,Departure,Italy,69328020,Passengers,IT, ITA,41.871940,12.567380
2010,Departure,Latvia,2345986,Passengers,LV, LVA,56.879635,24.603189
2010,Departure,Lithuania,1150787,Passengers,LT, LTU,55.169438,23.881275
2010,Departure,Luxembourg,813941,Passengers,LU, LUX,49.815273,6.129583
2010,Departure,Malta,1646807,Passengers,MT, MLT,35.937496,14.375416
2010,Departure,Netherlands,24239221,Passengers,NL, NLD,52.132633,5.291266
2010,Departure,Poland,9604809,Passengers,PL, POL,51.919438,19.145136
2010,Departure,Portugal,14223431,Passengers,PT, PRT,39.399872,-8.224454
2010,Departure,Czech Republic,6103790,Passengers,CZ, CZE,49.817492,15.472962
2010,Departure,Romania,4674618,Passengers,RO, ROU,45.943161,24.966760
2010,Departure,Sweden,16157728,Passengers,SE, SWE,60.128161,18.643501
2010,Departure,Iceland,1022801,Passengers,IS, ISL,64.963051,-19.020835
2010,Departure,Norway,20599726,Passengers,NO, NOR,60.472024,8.468946
2010,Departure,United Kingdom,104937573,Passengers,GB, GBR,55.378051,-3.435973
2010,Departure,Switzerland,19127750,Passengers,CH, CHE,46.818188,8.227512
2011,Departure,Germany,99575606,Passengers,DE, DEU,51.165691,10.451526
2011,Departure,Austria,12929606,Passengers,AT, AUT,47.516231,14.550072
2011,Departure,Belgium,12543103,Passengers,BE, BEL,50.503887,4.469936
2011,Departure,Bulgaria,3449001,Passengers,BG, BGR,42.733883,25.485830
2011,Departure,Cyprus,3594025,Passengers,CY, CYP,35.126413,33.429859
2011,Departure,Croatia,2736524,Passengers,HR, HRV,45.100000,15.200000
2011,Departure,Denmark,13950912,Passengers,DK, DNK,56.263920,9.501785
2011,Departure,Slovakia,926553,Passengers,SK, SVK,48.669026,19.699024
2011,Departure,Slovenia,678697,Passengers,SI, SVN,46.151241,14.995463
2011,Departure,Spain,101563382,Passengers,ES, ESP,40.463667,-3.749220
2011,Departure,Estonia,968167,Passengers,EE, EST,58.595272,25.013607
2011,Departure,Finland,9563748,Passengers,FI, FIN,61.924110,25.748151
2011,Departure,France,76336436,Passengers,FR, FRA,46.227638,2.213749
2011,Departure,Greece,19988741,Passengers,GR, GRC,39.074208,21.824312
2011,Departure,Hungary,4468710,Passengers,HU, HUN,47.162494,19.503304
2011,Departure,Ireland,11749716,Passengers,IE, IRL,53.412910,-8.243890
2011,Departure,Italy,73996017,Passengers,IT, ITA,41.871940,12.567380
2011,Departure,Latvia,2558838,Passengers,LV, LVA,56.879635,24.603189
2011,Departure,Lithuania,1350860,Passengers,LT, LTU,55.169438,23.881275
2011,Departure,Luxembourg,918092,Passengers,LU, LUX,49.815273,6.129583
2011,Departure,Malta,1761850,Passengers,MT, MLT,35.937496,14.375416
2011,Departure,Netherlands,26888332,Passengers,NL, NLD,52.132633,5.291266
2011,Departure,Poland,10913649,Passengers,PL, POL,51.919438,19.145136
2011,Departure,Portugal,14987843,Passengers,PT, PRT,39.399872,-8.224454
2011,Departure,Czech Republic,6315203,Passengers,CZ, CZE,49.817492,15.472962
2011,Departure,Romania,5138131,Passengers,RO, ROU,45.943161,24.966760
2011,Departure,Sweden,18085344,Passengers,SE, SWE,60.128161,18.643501
2011,Departure,Iceland,1238063,Passengers,IS, ISL,64.963051,-19.020835
2011,Departure,Norway,22549625,Passengers,NO, NOR,60.472024,8.468946
2011,Departure,United Kingdom,109170717,Passengers,GB, GBR,55.378051,-3.435973
2011,Departure,Switzerland,21041848,Passengers,CH, CHE,46.818188,8.227512
2012,Departure,Germany,100775317,Passengers,DE, DEU,51.165691,10.451526
2012,Departure,Austria,13325963,Passengers,AT, AUT,47.516231,14.550072
2012,Departure,Belgium,12960852,Passengers,BE, BEL,50.503887,4.469936
2012,Departure,Bulgaria,3530360,Passengers,BG, BGR,42.733883,25.485830
2012,Departure,Cyprus,3668817,Passengers,CY, CYP,35.126413,33.429859
2012,Departure,Croatia,2950427,Passengers,HR, HRV,45.100000,15.200000
2012,Departure,Denmark,14067532,Passengers,DK, DNK,56.263920,9.501785
2012,Departure,Slovakia,801474,Passengers,SK, SVK,48.669026,19.699024
2012,Departure,Slovenia,582636,Passengers,SI, SVN,46.151241,14.995463
2012,Departure,Spain,96583022,Passengers,ES, ESP,40.463667,-3.749220
2012,Departure,Estonia,1118886,Passengers,EE, EST,58.595272,25.013607
2012,Departure,Finland,9602729,Passengers,FI, FIN,61.924110,25.748151
2012,Departure,France,78534338,Passengers,FR, FRA,46.227638,2.213749
2012,Departure,Greece,18906170,Passengers,GR, GRC,39.074208,21.824312
2012,Departure,Hungary,4246711,Passengers,HU, HUN,47.162494,19.503304
2012,Departure,Ireland,11823365,Passengers,IE, IRL,53.412910,-8.243890
2012,Departure,Italy,73038174,Passengers,IT, ITA,41.871940,12.567380
2012,Departure,Latvia,2378456,Passengers,LV, LVA,56.879635,24.603189
2012,Departure,Lithuania,1590353,Passengers,LT, LTU,55.169438,23.881275
2012,Departure,Luxembourg,950120,Passengers,LU, LUX,49.815273,6.129583
2012,Departure,Malta,1826353,Passengers,MT, MLT,35.937496,14.375416
2012,Departure,Netherlands,27835638,Passengers,NL, NLD,52.132633,5.291266
2012,Departure,Poland,11813440,Passengers,PL, POL,51.919438,19.145136
2012,Departure,Portugal,15390626,Passengers,PT, PRT,39.399872,-8.224454
2012,Departure,Czech Republic,5872101,Passengers,CZ, CZE,49.817492,15.472962
2012,Departure,Romania,5070258,Passengers,RO, ROU,45.943161,24.966760
2012,Departure,Sweden,18453513,Passengers,SE, SWE,60.128161,18.643501
2012,Departure,Iceland,1374986,Passengers,IS, ISL,64.963051,-19.020835
2012,Departure,Norway,23910250,Passengers,NO, NOR,60.472024,8.468946
2012,Departure,United Kingdom,109918001,Passengers,GB, GBR,55.378051,-3.435973
2012,Departure,Switzerland,21922378,Passengers,CH, CHE,46.818188,8.227512
2013,Departure,Germany,101444666,Passengers,DE, DEU,51.165691,10.451526
2013,Departure,Austria,13224990,Passengers,AT, AUT,47.516231,14.550072
2013,Departure,Belgium,13207712,Passengers,BE, BEL,50.503887,4.469936
2013,Departure,Bulgaria,3647568,Passengers,BG, BGR,42.733883,25.485830
2013,Departure,Cyprus,3519545,Passengers,CY, CYP,35.126413,33.429859
2013,Departure,Croatia,3098272,Passengers,HR, HRV,45.100000,15.200000
2013,Departure,Denmark,14524640,Passengers,DK, DNK,56.263920,9.501785
2013,Departure,Slovakia,792778,Passengers,SK, SVK,48.669026,19.699024
2013,Departure,Slovenia,631360,Passengers,SI, SVN,46.151241,14.995463
2013,Departure,Spain,93253848,Passengers,ES, ESP,40.463667,-3.749220
2013,Departure,Estonia,993359,Passengers,EE, EST,58.595272,25.013607
2013,Departure,Finland,9518384,Passengers,FI, FIN,61.924110,25.748151
2013,Departure,France,80343593,Passengers,FR, FRA,46.227638,2.213749
2013,Departure,Greece,19744352,Passengers,GR, GRC,39.074208,21.824312
2013,Departure,Hungary,4254777,Passengers,HU, HUN,47.162494,19.503304
2013,Departure,Ireland,12331336,Passengers,IE, IRL,53.412910,-8.243890
2013,Departure,Italy,71883155,Passengers,IT, ITA,41.871940,12.567380
2013,Departure,Latvia,2393496,Passengers,LV, LVA,56.879635,24.603189
2013,Departure,Lithuania,1746751,Passengers,LT, LTU,55.169438,23.881275
2013,Departure,Luxembourg,1090528,Passengers,LU, LUX,49.815273,6.129583
2013,Departure,Malta,2015771,Passengers,MT, MLT,35.937496,14.375416
2013,Departure,Netherlands,29054785,Passengers,NL, NLD,52.132633,5.291266
2013,Departure,Poland,12306566,Passengers,PL, POL,51.919438,19.145136
2013,Departure,Portugal,16203634,Passengers,PT, PRT,39.399872,-8.224454
2013,Departure,Czech Republic,5948808,Passengers,CZ, CZE,49.817492,15.472962
2013,Departure,Romania,5269157,Passengers,RO, ROU,45.943161,24.966760
2013,Departure,Sweden,19017005,Passengers,SE, SWE,60.128161,18.643501
2013,Departure,Iceland,1598917,Passengers,IS, ISL,64.963051,-19.020835
2013,Departure,Norway,24998430,Passengers,NO, NOR,60.472024,8.468946
2013,Departure,United Kingdom,113762680,Passengers,GB, GBR,55.378051,-3.435973
2013,Departure,Switzerland,22412312,Passengers,CH, CHE,46.818188,8.227512
2014,Departure,Germany,104307285,Passengers,DE, DEU,51.165691,10.451526
2014,Departure,Austria,13526480,Passengers,AT, AUT,47.516231,14.550072
2014,Departure,Belgium,14406511,Passengers,BE, BEL,50.503887,4.469936
2014,Departure,Bulgaria,3868955,Passengers,BG, BGR,42.733883,25.485830
2014,Departure,Cyprus,3665889,Passengers,CY, CYP,35.126413,33.429859
2014,Departure,Croatia,3304186,Passengers,HR, HRV,45.100000,15.200000
2014,Departure,Denmark,15307528,Passengers,DK, DNK,56.263920,9.501785
2014,Departure,Slovakia,850360,Passengers,SK, SVK,48.669026,19.699024
2014,Departure,Slovenia,654522,Passengers,SI, SVN,46.151241,14.995463
2014,Departure,Spain,97383909,Passengers,ES, ESP,40.463667,-3.749220
2014,Departure,Estonia,1020367,Passengers,EE, EST,58.595272,25.013607
2014,Departure,Finland,9853445,Passengers,FI, FIN,61.924110,25.748151
2014,Departure,France,81882418,Passengers,FR, FRA,46.227638,2.213749
2014,Departure,Greece,22798239,Passengers,GR, GRC,39.074208,21.824312
2014,Departure,Hungary,4559437,Passengers,HU, HUN,47.162494,19.503304
2014,Departure,Ireland,13188072,Passengers,IE, IRL,53.412910,-8.243890
2014,Departure,Italy,75114163,Passengers,IT, ITA,41.871940,12.567380
2014,Departure,Latvia,2398244,Passengers,LV, LVA,56.879635,24.603189
2014,Departure,Lithuania,1900752,Passengers,LT, LTU,55.169438,23.881275
2014,Departure,Luxembourg,1224145,Passengers,LU, LUX,49.815273,6.129583
2014,Departure,Malta,2145833,Passengers,MT, MLT,35.937496,14.375416
2014,Departure,Netherlands,30503583,Passengers,NL, NLD,52.132633,5.291266
2014,Departure,Poland,13634359,Passengers,PL, POL,51.919438,19.145136
2014,Departure,Portugal,17586144,Passengers,PT, PRT,39.399872,-8.224454
2014,Departure,Czech Republic,6050752,Passengers,CZ, CZE,49.817492,15.472962
2014,Departure,Romania,5704162,Passengers,RO, ROU,45.943161,24.966760
2014,Departure,Sweden,19810370,Passengers,SE, SWE,60.128161,18.643501
2014,Departure,Iceland,1926574,Passengers,IS, ISL,64.963051,-19.020835
2014,Departure,Norway,25564318,Passengers,NO, NOR,60.472024,8.468946
2014,Departure,United Kingdom,118708803,Passengers,GB, GBR,55.378051,-3.435973
2014,Departure,Switzerland,23376322,Passengers,CH, CHE,46.818188,8.227512
2015,Departure,Germany,108195262,Passengers,DE, DEU,51.165691,10.451526
2015,Departure,Austria,13696857,Passengers,AT, AUT,47.516231,14.550072
2015,Departure,Belgium,15485440,Passengers,BE, BEL,50.503887,4.469936
2015,Departure,Bulgaria,3912287,Passengers,BG, BGR,42.733883,25.485830
2015,Departure,Cyprus,3794014,Passengers,CY, CYP,35.126413,33.429859
2015,Departure,Croatia,3525290,Passengers,HR, HRV,45.100000,15.200000
2015,Departure,Denmark,15836180,Passengers,DK, DNK,56.263920,9.501785
2015,Departure,Slovakia,980938,Passengers,SK, SVK,48.669026,19.699024
